Name,                               English,                                     Translation,                                   Restrictions, Comment
Button_Delete,Delete,Eliminar,,Delete button
Button_Done,Done,Done,,Done button
Button_Import,Import,Importar,,import button label
Button_Manage,Manage,Administrar,,Manage button
Button_No,No,No,,No
Button_OK,OK,Aceptar,,ok button
Button_Rename,Rename,Renombrar,,Rename button
Button_Resize,Resize,Redimensionar,,resize button label
Button_Scale,Scale,Escala,,Image editor - scale button
Button_Yes,Yes,Sí,,Yes
Button_Next,Next,Siguiente,,next button label
Button_Create,Create,Crear,,create button label
Button_Apply,Apply,Aplicar,,apply button label
Button_Remove_All,Remove All,Eliminar todo,,button label - remove all
Dialog_ResetLayout_Title,Reset Layout,Restablecer diseño,,Reset layout dialog title
Dialog_ResetLayout,Resetting the project layout will close any open resources. Are you sure you want to reset the layout?,El anulo del diseño del proyecto cerrará cualquier recurso abierto. ¿Seguro que quiere anular el diseño?,,Dialog message reset layout
Dialog_ResetLayout_ChoicePref,Default choice for resetting the project layout,Default choice for resetting the project layout,,Default reset layout dialog choice
Certificate_GenerateSucceeded,Successfully created certificate file: {0},El archivo de certificación fue creado exitosamente: {0},,certificate create success
Certificate_GenerateFailed,Failed to create certificate file: {0},Fallo al crear el archivo de certificación: {0},,certificate create failed
Certificate_FileAlreadyExists,Certificate file '{0}' already exists; please choose a new filename,Archivo de certificado '{0}' ya exise; por favor elija un nuveo nombre,,certificate file exists
Certificate_RequiredFieldsMissing,Name and Password fields must be set,Nombre y clave se deben de establecer,,create certificate missing fields
Certificate_FileMissing,Unable to find certificate file '{0}',No se pudo encontrar el archivo de certificado '{0}',,certificate file missing
Certificate_Test_Title,Certificate Check,Comprueba de certificación,,certificate test title
Certificate_PasswordFail,Password is NOT valid for certificate,La clave NO es valida para el certificado,,certificate password fail
Certificate_PasswordOK,Password is valid for certificate,La clave es valida para el certificado,,certificate password ok
CertProperties_Heading,Set .pem certificate file and password,Establecer .pem archivo de certificado y clave,,certificate properties heading
CertProperties_Heading2,(you can use an existing GameMaker:Studio marketplace certificate),(puedes usar un certificado de mercado de GameMaker:Studio),,certificate properties heading 2
CertProperties_CertificateFile,Certificate File:,Archivo de certificado:,,certificate file label
CertProperties_CertificatePassword,Certificate Password:,Clave de certificado:,,certificate password label
CertProperties_Check,Check,Comprobar,,certificate properties check certificate button label
CertProperties_CheckTooltip,Check that the password is valid for the selected certficate file,Comprube que la clave sea valida para el archivo de certificado seleccionado,,certificate properties check tooltip
CertProperties_CreateInfoLabel,"If you don't have a certificate, you can create one:","Si no tiene un certificado, puede crear uno:",,certificate properties create info
CertProperties_CreateNewCertificate,Create new certificate,Crear certificado nuevo,,certificate properties create new certificate button label
CertProperties_CreateCertificate,Create Certificate,Comprobar certificado,,certificate properties create certificate button label
CertProperties_EnterCertDetails,Enter new certificate details:,Ingrese detayes del certificado nuevo:,,certificate properties enter certificate details
CertProperties_PublisherName,Publisher Name:,Nombre del editor:,,cert properties author name
CertProperties_CreatePublisherAccount,Create Publisher Account,Creatar cuenta de editor,,create publisher account button label
CodeWindow_2Column,2 columns,2 columnas,,Document window layout menu option - 2columns
CodeWindow_3Column,3 columns,3 columnas,,Document window layout menu option - 3 columns
CodeWindow_Fullscreen,Fullscreen workspace tab,Pestaña de área de trabajo de pantalla completa,,Document window layout menu option - fullscreen workspace tab
CodeWindow_Menu_Help,Keyword help,Ayuda de palabras clave,,Code window help menu option
CodeWindow_Menu_ShowResource,Show resource,Mostrar recurso,,Code window show resource menu option
CodeWindow_SingleColumn,Single pane,Panel sencillo,,Document window layout menu option - 1 column
CodeWindow_Title,Code,Código,,fullscreen code editor workspace tab title
CodeWindow_RestoreToWorkspace,Restore to workspace,Restaurar area de trabajo,,code editor restore to workspace context menu option
CodeWindow_GotoObject,Go to Object,Ir a objeto,,code editor go to object context menu option
CodeWindow_AddEvent,Add/Open Event,Añadir/Abrir evento,,code editor event script add event context menu option
CompileErrors,Compile Errors,Errores de compilación,,Compile Errors tab title
CompileErrors_NoErrors,There are no compile errors to show!,¡No hay errores de compilación que mostrar!,,No compile errors message
Configuration,Configuration,Configuración,,Configuration
Configuration_Select,Select Configuration,Seleccionar configuración,,Window title for config select
Configurations,Configurations,Configuraciones,,Configurations
Configurations_Add,Add New Configuration,Añadir nueva configuración,,Add configuration window title
Configurations_Delete,Are you sure you want to delete configuration '{0}'?,¿Seguro que quieres eliminar la configuración '{0}'?,,Confirm for deleting a configuration
Configurations_Delete_OtherConfigs,Are you sure? Deleting configuration '{0}' will also delete the following configurations: '{1}'.,¿Seguro? Si eliminas la configuración '{0}' tambien eliminarás la siguiente configuración: '{1}'.,,Warning about deleting a configuration deleting child configs
Configurations_DeleteError,Cannot delete configuration '{0}',Cannot delete configuration '{0}',,Cannot delete a configuration error message
Configurations_DuplicateEntryError,Cannot duplicate existing configuration name,No se puede duplicar el nombre de configuración existente,,Configuration name cannot be duplicated error message
Configurations_InvalidLicenseError,Cannot create configurations with the Trial version of GameMaker Studio 2,No se puede crear configuraciones con la versión de prueba de GameMaker Studio 2,,Cannot create configurations with the Trial version of GameMaker Studio 2 error message
Configurations_InvalidNameError,The configuration name '{0}' is not valid,El nombre de configuración '{0}' no es valido,,Configuration name provided is invalid
Configurations_Manage,Manage Configurations,Administar configuraciones,,Manage Configurations window title
Configurations_NameEmptyError,New configuration name cannot be empty,El nombre de la nueva configuración no puede estar en blanco.,,Configuration name cannot be empty error message
Configurations_NewName,New Configuration Name,Nuevo nombre de configuración,,New configuration label
Configurations_Parent,Parent Configuration,Configuración padre,,Choose parent configuration label
Configurations_Promote,Promote,Promover,,Promotion of a config up the config hierarchy
Configurations_Rename,Rename Configuration,Rebautizar configuración,,Rename configuration
Configurations_RenameError,Cannot rename '{0}' configuration,No se puede rebautizar la configuración '{0}',,Configuration name cannot be renamed error message
Configurations_ConfirmPromote,Are you sure? Promoting a configuration cannot be undone,¿Estás seguro? Promoting a configuration cannot be undone,,Confirm the user really wants to promote a config
ContextMenu_AddMenuEntry,Add Menu Entry,Add Menu Entry,,Context menu option to add a menu entry at the end of the context menu
ContextMenu_AddMenuEntryAfter,Add Menu Entry Below,Add Menu Entry Below,,Context menu option to add a menu entry below the selected entry
ContextMenu_AddMenuEntryBefore,Add Menu Entry Above,Add Menu Entry Above,,Context menu option to add a menu entry above the selected entry
ContextMenu_AddMenuSeparatorAfter,Add Menu Separator Below,Add Menu Separator Below,,Context menu option to add a separator below the selected entry
ContextMenu_AddMenuSeparatorBefore,Add Menu Separator Above,Add Menu Separator Above,,Context menu option to add a separator above the selected entry
ContextMenu_AddSubMenuEntry,Add Sub Menu Entry,Add Sub Menu Entry,,Context menu option to add a sub menu entry at the end of the context menu
ContextMenu_AddSubMenuEntryAfter,Add Sub Menu Entry Below,Add Sub Menu Entry Below,,Context menu option to add a sub menu entry before the selected entry
ContextMenu_AddSubMenuEntryBefore,Add Sub Menu Entry Above,Add Sub Menu Entry Above,,Context menu option to add a sub menu entry after the selected entry
ContextMenu_MoveEntryDown,Move Menu Item Down,Move Menu Item Down,,Context menu option to move a menu entry or separator down
ContextMenu_MoveEntryUp,Move Menu Item Up,Move Menu Item Up,,Context menu option to move a menu entry or separator up
Dialog_AreYouSure,Are you sure?,¿Estás seguro?,,"Generic ""Are you sure?"" dialog message"
Dialog_Confirm,Confirm,Confirmar,,"Dialog ""confirm"" heading"
Dialog_DeleteEvent_Query,Are you sure you want to remove the event with all its actions?,Are you sure you want to remove the event with all its actions?,,Delete event dialog confirmation query
Dialog_CutEvent_Query,Are you sure you want to cut the selected event?,Are you sure you want to cut the selected event?,,Cut event dialog confirmation query
Dialog_DeleteEvent_Query_Multiple,Are you sure you want to remove {0} events with all their actions?,Are you sure you want to remove {0} events with all their actions?,,Delete multiple event dialog confirmation query
Dialog_DeleteFrame_Query,Delete the selected frames?,¿Borrar los fotogramas seleccionados?,,image editor delete frames confirm query
Dialog_PasteEvent_NotReady,The event is still being copied. Please try pasting again in a few seconds.,The event is still being copied. Please try pasting again in a few seconds.,,Not ready to paste yet message
Dialog_DontShowAgain,Don't show this message again,No vuelva a mostrar este mensaje,,Message next to checkbox to allow the user to choose not to see this popup in future
Dialog_Error,Error,Error,,error dialog title
Dialog_NotReady,Not Ready,No está listo,,not ready dialog title
Dialog_Success,Success,Éxito,,success dialog title
Dialog_Invalid,Invalid,Inválido,,Dialog caption text for invalid input
Dialog_InvalidInput,Invalid input. Please provide the required information.,Entrada inválida. Por favor proporcione los detalles requerido.,,A dialog message for invalid input in dialogs
Dialog_SaveChangesToX,Save the changes to {0}?,¿Guardar cambios a {0}?,,Save changes to X query
Dialog_Warning,Warning,Aviso,,"Dialog ""Warning"" title"
DialogEditor_AddContextMenu,Add Context Menu,Add Context Menu,,Context menu option to add a context menu to the selected gadget
DialogEditor_Cell,Grid Cell,Grid Cell,,Layout Hierarchy heading for a grid cell group
DialogEditor_ChildGadgets,Child Gadgets,Child Gadgets,,Layout Hierarchy heading for a child gadgets group
DialogEditor_ChildWindows,Child Windows,Child Windows,,Layout Hierarchy heading for a child windows group
DialogEditor_ClearLayoutList,Clear List,Clear List,,Button label for clearing the open layout list
DialogEditor_Client,Client Panel,Client Panel,,Layout Heirarchy heading for a client panel (window or tab)
DialogEditor_ClippedGadget,Clip To Parent,Clip To Parent,,context menu option for setting if a gadget is clipped within its parent or not
DialogEditor_ColourDialog,Colour Dialog,Colour Dialog,,layout hierarchy label for a colour dialog window
DialogEditor_ColourSelected,Selected Colour Display,Selected Colour Display,,layout hierarchy label for the selected colour display
DialogEditor_ColumnSplitter,Grid Column Splitter,Grid Column Splitter,,Layout Heirarchy heading for a grid column splitter
DialogEditor_ColumnDockSplitter,Grid Column Dock Splitter,Grid Column Dock Splitter,,Layout Heirarchy heading for a grid column dock splitter
DialogEditor_RowDockSplitter,Grid Row Dock Splitter,Grid Row Dock Splitter,,Layout Heirarchy heading for a grid row dock splitter
DialogEditor_GridSplitter,Grid Splitter,Grid Splitter,,gadget properties heading for a grid splitter
DialogEditor_DockSplitter,Grid Dock Splitter,Grid Dock Splitter,,gadget properties heading for a grid dock splitter
DialogEditor_ContextMenu,Context Menu,Context Menu,,Layout Heirarcy heading for a context menu
DialogEditor_CopyGadget,Copy Gadget,Copy Gadget,,menu entry for copying a gadget to clipboard
DialogEditor_CutGadget,Cut Gadget,Cut Gadget,,menu entry for cutting a gadget to clipboard
DialogEditor_DeleteGadget,Delete Gadget,Delete Gadget,,menu entry for deleting the currently highlighted gadget
DialogEditor_DeleteLayout,Delete Layout,Delete Layout,,Dialog editor delete layout menu entry
DialogEditor_DeleteLayout_AreYouSure,Are you sure you want to delete this layout?,Are you sure you want to delete this layout?,,Check the user really wants to delete the layout
DialogEditor_DuplicateLayoutName,Dialog Editor: Duplicate Layout Name,Dialog Editor: Duplicate Layout Name,,log prompt for user to indicate the layout name is already in use
DialogEditor_DuplicateStyleName,A duplicate of stylename '{0}' was found in\n'{1}'\nthe style will continue to be saved in\n'{2}',A duplicate of stylename '{0}' was found in\n'{1}'\nthe style will continue to be saved in\n'{2}',,warning message that a duplicate of a style name was found but will be ignored
DialogEditor_Error,Error,Error,,dialog editor error box title
DialogEditor_FailedToOpenJSON,Dialog Editor: Failed to open .json file: '{0}',Dialog Editor: Failed to open .json file: '{0}',,The .json file selected failed to load
DialogEditor_FileBrowse,Browse...,Browse...,,browse for filepath
DialogEditor_FileName,File name:,File name:,,layout file name
DialogEditor_FlattenSubLayout,Flatten SubLayout,Flatten SubLayout,,Context menu/menu bar entry for flattening a sub layout within a layout hierarchy
DialogEditor_Gadgets,Gadgets,Gadgets,,Layout Hierarchy heading for a gadgets group
DialogEditor_GUIBase,GUI Base,GUI Base,,gadget properties heading for properties coming from the GUIBase class
DialogEditor_GUIStyle,Style,Style,,Gadget properties heading for the guistyle class properties
DialogEditor_Hierarchy,Layout Hierarchy,Layout Hierarchy,,the title for the layout hierarchy window
DialogEditor_HighlightedGadgetInfo,"relative position: ({0}px, {1}px) dimension: ({2}px, {3}px)","relative position: ({0}px, {1}px) dimension: ({2}px, {3}px)",,display position and dimension of the currently highlighted gadget
DialogEditor_HSVTextEntry,HSV Input,HSV Input,,layout hierarchy label for the HSV input boxes
DialogEditor_InvalidJSON,The style '{0}' is not a valid json primitive. Please amend or revert the style. No changes will be saved.,The style '{0}' is not a valid json primitive. Please amend or revert the style. No changes will be saved.,,Error message when the user attempts to save a broken json style
DialogEditor_LabelAndIconCollection,Name And Icon,Nombre y icono,,Gadget properties heading for the LabelAndIcon class properties
DialogEditor_Layout,Layout,Diseño,,Gadget properties heading for the basic layout properties group
DialogEditor_LayoutName,Layout name:,Nombre de diseño:,,layout name
DialogEditor_ListBoxItems,List Items,List Items,,The layout hierarchy label for the list items
DialogEditor_LoadLayoutXML,Load Layout File,Cargar archivo de diseño,,Button prompt for loading a layout xml file
DialogEditor_MenuBarEntry,Menu Bar Entry,Menu Bar Entry,,layout hierarchy label for menubarentry gadget
DialogEditor_MenuEntry,Menu Entry,Menu Entry,,Layout Hierarchy heading for a menu entry
DialogEditor_NewLayout,New Layout,Nuevo diseño,,Dialog editor new layout menu entry
DialogEditor_Node,Tree View Node,Tree View Node,,Tree view node label in the gadget layout hierarchy
DialogEditor_NoJSONSelected,Dialog Editor: No JSON File Selected,Dialog Editor: No JSON File Selected,,There was no .json file selected by the user
DialogEditor_NoLayoutSelected,Dialog Editor: No Layout Selected,Dialog Editor: No Layout Selected,,log prompt for user to indicate no layout was selected
DialogEditor_NoXMLSelected,Dialog Editor: No XML File Selected,Dialog Editor: No XML File Selected,,log prompt for user to indicate no xml file was selected
DialogEditor_OpenLayout,Open Layout,Abrir diseño,,Dialog editor open layout menu entry
DialogEditor_OverridingStyleFile,The style name '{0}' is currently registered to\n'{2}'\nbut will now be saved to\n'{1}',The style name '{0}' is currently registered to\n'{2}'\nbut will now be saved to\n'{1}',,Message when the user overrides a styles save file 
DialogEditor_PasteGadget,Paste Gadget,Paste Gadget,,menu entry for pasting a gadget from clipboard
DialogEditor_Properties,Gadget Layout Properties,Gadget Layout Properties,,the title for the layout properties window
DialogEditor_RadioGroup,Radio Button Group,Radio Button Group,,Layout hierarchy display name for radio button group
DialogEditor_ReloadImages,Reload Images,Reload Images,,menu bar entry for reloading all images in the dialog editor
DialogEditor_RemoveTestLayout,Remove Active Test Layouts,Remove Active Test Layouts,,Menu option to remove any active test layout windows from the dialog editor
DialogEditor_RevertAllStyles,Revert All Styles To Last Save,Revert All Styles To Last Save,,Revert the all the currently open styles to version on disk
DialogEditor_RevertAllStylesToOriginal,Revert All Styles To Original State,Revert All Styles To Original State,,Revert the all the currently open styles to version of unmodified file on disk
DialogEditor_RevertStyle,Revert Style To Last Save,Revert Style To Last Save,,Revert the currently active style to version on disk
DialogEditor_RevertStyleToOriginal,Revert Style To Original State,Revert Style To Original State,,Revert the currently active style to version of unmodified file on disk
DialogEditor_RGBATextEntry,RGBA Input,RGBA Input,,layout hierarchy label for the RGBA input boxes
DialogEditor_RowSplitter,Grid Row Splitter,Grid Row Splitter,,Layout Heirarchy heading for a grid row splitter
DialogEditor_SaveAllStyles,Save All Styles,Save All Styles,,Menu option to save all open styles to file
DialogEditor_SaveAsLayout,Save Layout As...,Save Layout As...,,Dialog editor save as layout menu entry
DialogEditor_SaveFailed,Dialog Editor: Save failed due to error: {0} - {1},Dialog Editor: Save failed due to error: {0} - {1},,lop propmt for user to indicate the save failed
DialogEditor_SaveLayout,Save Layout,Save Layout,,Dialog editor save layout menu entry
DialogEditor_SaveStyle,Save Style,Save Style,,Menu option to save a style to file
DialogEditor_SaveStyleAs,Save Style As...,Save Style As...,,Menu option to save a style to a different file or with a different name
DialogEditor_ScrollPanel,Scroll Panel,Scroll Panel,,layout hierarchy display name for scroll panel
DialogEditor_SelectContextMenu,Edit Context Menu,Edit Context Menu,,Context menu option to select the context menu for the selected gadget so it can be edited
DialogEditor_SelectSaveFile,Select the file to save the style to. If the file doesn't already contain the style definition it will search all files within its folder.\nUse 'Save Style As...' to explicitly override save file,Select the file to save the style to. If the file doesn't already contain the style definition it will search all files within its folder.\nUse 'Save Style As...' to explicitly override save file,,Information about selecting a save file. Informs the user that if the file they have chosen doesn't already include the stylename it will search for the file that does inside the parent folder
DialogEditor_StyleEditor,Style Editor,Style Editor,,the title for the style editor window
DialogEditor_StyleName,Style name:,Style name:,,style name
DialogEditor_StyleNotFound,The style wasn't found in this folder. It will append to the selected file unless an alternative is selected.,The style wasn't found in this folder. It will append to the selected file unless an alternative is selected.,,Warning message that the style wasnt' found so it will be appended to the end of the given style instead
DialogEditor_SubMenuEntry,Sub Menu Entry,Sub Menu Entry,,Layout hierarchy label for a sub menu entry
DialogEditor_TabControl,Tab Control Panel,Tab Control Panel,,Gadget toolbox display name for tab control
DialogEditor_TabItem,Tab,Tab,,Layout Heirarchy heading for a tab
DialogEditor_TestLayout,Test Layout,Test Layout,,Dialog editor test layout menu entry
DialogEditor_Title,Dialog Editor,Dialog Editor,,title for the dialog editor window
DialogEditor_Toolbox,Gadget Toolbox,Gadget Toolbox,,title for the gadget toolbox window
DialogEditor_TreeViewNode,TreeViewNode,TreeViewNode,,Dialog editor TreeViewNode
DialogEditor_Warning,Warning,Alerta,,warning message box title
Edit_Menu_FindResource,Find Resource,Buscar recurso,,"Edit menu ""FindResource"""
Edit_Menu_Redo,Redo,Rehacer,,Redo menu entry
Edit_Menu_Search,Search & Replace,Buscar y reemplazar,,"Edit menu ""Search & Replace"""
Edit_Menu_Undo,Undo,Deshacer,,Undo menu entry
Error_AnimBlendClone,{0} does not implement ICloneable,{0} does not implement ICloneable,,Any class that is used in the animation system must implement ICloneable
Error_CursorManagerDuplicateName,Attempting to add a cursor using image {1} with duplicated id {0} please assign a different name,Attempting to add a cursor using image {1} with duplicated id {0} please assign a different name,,Multiple cursors have been added with the same reference name
Error_CursorManagerFailedLoad,Attempted to load cursor {1} but received error '{0}',Attempted to load cursor {1} but received error '{0}',,File load failed for cursor image
Error_CursorManagerLoadingInfoMissing,Attempting to load cursor {0} but can't find loading info,Attempting to load cursor {0} but can't find loading info,,The loading callback for a cursor can't find the loading hotspot info
Error_GadgetToolboxFailedLoad,Attempted to load gadget toolbox info but received error '{0}' - '{1}',Attempted to load gadget toolbox info but received error '{0}' - '{1}',,Failed to load the gadget toolbox list
Error_GadgetToolboxInvalidGadget,Attempted to add gadget '{0}' to toolbox but it isn't registered with the layout manager ,Attempted to add gadget '{0}' to toolbox but it isn't registered with the layout manager ,,Invalid gadget specified in gadget toolbox list
Error_GlobalInputBinding,You can not bind global inputs to a function that takes paramaters.,You can not bind global inputs to a function that takes paramaters.,,Plugins can not use the global autobinding if the bound function takes a paramater
Error_GridColumnIndexInvalid,Attempting to access invalid column index {0} for grid with {1} columns,Attempting to access invalid column index {0} for grid with {1} columns,,Attempted to access an invalid column index
Error_GridRowIndexInvalid,Attempting to access invalid row index {0} for grid with {1} rows,Attempting to access invalid row index {0} for grid with {1} rows,,Attempted to access an invalid row index
Error_GUILayout_AnchorRequiresParentPos,"A parent reliant anchor (bottom or right) has been set with no parent gadget, try setting the dimension instead","A parent reliant anchor (bottom or right) has been set with no parent gadget, try setting the dimension instead",,Attempted to use an bottom or right anchor when there is no parent gadget to base the position upon
Error_GUILayout_DimensionAndBothAnchors,"A dimension input has been set along with both the associated anchors, the dimension input will be ignored","A dimension input has been set along with both the associated anchors, the dimension input will be ignored",,"Both the dimension and the associated anchors have been set (for instance width, top and bottom) the dimension will be calculated from the anchors not the dimension input"
Error_GUILayout_FailedCalculatePosition,"Cannot calculate actual position of gadget, too few anchors and/or dimensions are set","Cannot calculate actual position of gadget, too few anchors and/or dimensions are set",,Gadget requires at least one anchor or the dimension to be set for each direction
Error_GUILayout_PercentageRequiresParentDimension,"An anchor or dimension has been set to percentage with no parent gadget, try using pixel instead","An anchor or dimension has been set to percentage with no parent gadget, try using pixel instead",,Attempted to use percentage style values when there is no parent gadget to base it upon
Error_GUILayout_ScaleToFitRequiresParent,"The scale to fit option has been selected on a gadget with no parent, try removing the scale to fit option","The scale to fit option has been selected on a gadget with no parent, try removing the scale to fit option",,Scale to fit has been requested but it can only be calculated if you have a parent to scale within
Error_InvalidRefCount,Object has been released too many times,Object has been released too many times,,releasing an object so ref<0
Error_LayoutManagerFailedLoad,Attempted to load layout file but received error '{0}' - '{1}',Attempted to load layout file but received error '{0}' - '{1}',,Failed to load a layout file
Error_MemoryFree,Trying to free invalid memory block,Trying to free invalid memory block,,Trying to free an unallocated block of memory
Error_PrimBuilder1,PrimitiveBuilder out of vertex space in {0},PrimitiveBuilder out of vertex space in {0},,Out of vertex space in while building primitives
Error_PrimBuilder2,"PrimitiveBuilder was not called finished correctly, you MUST call End()","PrimitiveBuilder was not called finished correctly, you MUST call End()",,You MUST call builder.End() when finished with a prim builder
Error_PrimBuilder3,Can not add more vertices to a finished  PrimitiveBuilder.,Can not add more vertices to a finished  PrimitiveBuilder.,,You have tried to add more vertices to a Primitive builder that you've already called End() on.
Error_ProjectLoadFailure,Project load failed. Unable to load {0},Project load failed. Unable to load {0},,Project load failure
Error_ResourceManagerDuplicateID,Attempting to add controller of type {0} with id {2} but there is already a controller of type {1} registered with that id,Attempting to add controller of type {0} with id {2} but there is already a controller of type {1} registered with that id,,Attempting to add a controller with the same id as a different controller that is already registered
Error_StyleNotFound,"Can not set requested style, not found","Can not set requested style, not found",,Trying to set a style when it hasn't been loaded/found
Error_WeakDelegateException,"Exception in {0},{1} :    {2}","Exception in {0},{1} :    {2}",,Thrown on a weak delegate exception
Error_VertexFormat,Vertex Format is sealed.,Vertex Format is sealed.,,Trying to add a vertex element to a vertex format that has already been ended
Error_WeakDelegateArgument,Method '{1}' on object '{0}' failed because {2},Method '{1}' on object '{0}' failed because {2},,Attempting to invoke a method from within a weak delegate with incorrect arguments
Error_WeakDelegateParameterCount,Method '{1}' on object '{0}' failed due to mismatching parameter count,Method '{1}' on object '{0}' failed due to mismatching parameter count,,Attempting to invoke a method from within a weak delegate with incorrect parameter count
Event_Alarm,Alarm,Alarma,,Alarm event name
Event_AlarmN,Alarm {0},Alarma {0},,Key Event Alarm N
Event_Async_AudioPlayback,Async - Audio Playback,Async - Audio Playback,,Asynchronous event subtype
Event_Async_AudioRecording,Async - Audio Recording,Async - Audio Recording,,Asynchronous event subtype
Event_Async_Cloud,Async - Cloud,Async - Cloud,,Asynchronous event subtype
Event_Async_Dialog,Async - Dialog,Async - Dialog,,Asynchronous event subtype
Event_Async_HTTP,Async - HTTP,Async - HTTP,,Asynchronous event subtype
Event_Async_IAP,Async - In-App Purchase,Async - In-App Purchase,,Asynchronous event subtype
Event_Async_ImageLoaded,Async - Image Loaded,Async - Image Loaded,,Asynchronous event subtype
Event_Async_Networking,Async - Networking,Async - Networking,,Asynchronous event subtype
Event_Async_PushNotification,Async - Push Notification,Async - Push Notification,,Asynchronous event subtype
Event_Async_SaveLoad,Async - Save/Load,Async - Save/Load,,Asynchronous event subtype
Event_Async_Social,Async - Social,Async - Social,,Asynchronous event subtype
Event_Async_Steam,Async - Steam,Async - Steam,,Asynchronous event subtype
Event_Async_SystemEvent,Async - System,Async - System,,Asynchronous event subtype
Event_Asynchronous,Asynchronous,Asyncrónico,,Asynchronous event name
Event_Collision,Collision,Colisión,,Collision event name
Event_Create,Create,Crear,,Create event name
Event_Destroy,Destroy,Destruir,,Destroy event name
Event_CleanUp,Clean Up,Limpiar,,Clean Up event name
Event_Draw,Draw,Dibujar,,Draw event name
Event_Draw_Draw,Draw,Dibujar,,Draw event subtype
Event_Draw_DrawBegin,Draw Begin,Dibujo inicial,,Draw event subtype
Event_Draw_DrawEnd,Draw End,Dibujo final,,Draw event subtype
Event_Draw_DrawGUI,Draw GUI,Dibujar GUI,,Draw event subtype
Event_Draw_DrawGUIBegin,Draw GUI Begin,Dibujo inicial de GUI ,,Draw event subtype
Event_Draw_DrawGUIEnd,Draw GUI End,Dibujo final de GUI,,Draw event subtype
Event_Draw_PostDraw,Post-Draw,Después del dibujo,,Draw event subtype
Event_Draw_PreDraw,Pre-Draw,Antes del dibujo,,Draw event subtype
Event_Draw_Resize,Window Resize,Redimensionar ventana,,Draw event subtype
Event_Key_Alt,Alt,Alt,,Key event subtype
Event_Key_AnyKey,Any,Cualquiera,,Key event subtype
